Age,AnnualIncome,CreditScore,EmploymentStatus,Experience,LoanAmount,LoanDuration,HomeOwnershipStatus,CreditUtilization,DebtToIncome,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,MonthlyIncome,UtilityPaymentScore,JobTenure,NetWorth,InterestRate,LoanApproved,NewLoanApproved,RiskScore
35,115640,569,Employed,12,24457,72,Rent,61%,12%,0,Education,0,15,5,1058,9636.67,65.45,8,37322,26.05,0,Rejected,53
25,58100,528,Employed,1,41698,48,Own,22%,4%,0,Home,0,19,23,859,4841.67,77.74,8,81991,24.12,0,Rejected,48
54,221656,608,Employed,36,17792,72,Rent,26%,59%,0,Home,0,25,12,12940,18471.33,86.93,3,10585,18.55,1,Approved,42
32,52830,467,Employed,10,23564,12,Other,31%,49%,0,Auto,0,34,17,25424,4402.5,74.33,4,204578,27.68,0,Rejected,52
26,19680,576,Employed,5,53127,60,Mortgage,37%,26%,0,Home,0,23,18,1491,1640,97.23,2,222961,30.54,0,Rejected,50
40,64732,584,Self-Employed,14,11430,48,Mortgage,12%,23%,0,Education,0,23,26,12101,5394.33,57.05,10,16955,23.34,1,Approved,43
32,61927,577,Employed,8,39815,48,Rent,7%,26%,0,Auto,1,14,12,1642,5160.58,79.06,6,10844,24.36,0,Rejected,57
57,71337,594,Self-Employed,34,10895,36,Mortgage,2%,6%,1,Home,0,20,1,1003,5944.75,73.1,7,69231,20.37,0,Rejected,66
31,35368,584,Self-Employed,9,11785,48,Rent,15%,16%,0,Home,0,22,10,1037,2947.33,74.69,3,29982,20.07,0,Rejected,53
23,192929,513,Employed,0,84996,72,Other,39%,19%,0,Debt Consolidation,0,27,25,2826,10042.92,71.36,3,18490,34.77,0,Rejected,48
18,21278,596,Employed,0,24148,48,Mortgage,43%,62%,0,Home,0,21,21,8652,1773.17,68.49,4,10833,17.69,0,Rejected,61
39,60414,538,Employed,17,40962,60,Rent,22%,39%,0,Auto,0,27,6,342,5034.5,92.35,5,78140,23.19,0,Rejected,54
33,36512,590,Employed,12,48865,48,Rent,12%,5%,0,Debt Consolidation,0,26,17,8382,3042.67,81.2,4,44868,24.03,0,Rejected,50
22,31055,471,Unemployed,0,26622,36,Rent,12%,20%,0,Auto,0,27,22,5709,2587.92,57.78,3,57041,30.22,0,Rejected,51
54,57602,624,Employed,29,12746,108,Mortgage,27%,23%,0,Debt Consolidation,0,28,4,4674,4800.17,91.76,4,32702,21.96,0,Rejected,52
48,111361,542,Unemployed,23,40020,60,Mortgage,9%,22%,0,Home,0,28,18,4784,9280.08,92.86,4,77657,27.24,1,Approved,41
39,48424,564,Self-Employed,19,29090,60,Mortgage,64%,36%,0,Auto,0,22,20,792,4035.33,87.17,5,160265,24.11,0,Rejected,56
56,61934,609,Employed,32,17655,24,Mortgage,12%,44%,0,Debt Consolidation,0,30,25,874,5161.17,65.57,4,75879,16.8,1,Approved,40
47,15292,599,Employed,24,12285,72,Other,31%,20%,0,Home,0,26,23,1379,1274.33,75.63,6,5497,26.89,0,Rejected,52
30,65260,573,Employed,5,22005,48,Rent,19%,31%,0,Debt Consolidation,0,16,20,2967,5438.33,90.74,6,54157,20.46,0,Rejected,51
27,32159,574,Employed,4,18693,48,Own,7%,47%,0,Auto,0,18,6,1241,2679.92,94.86,4,86397,24.3,0,Rejected,56
49,52999,601,Employed,27,21407,60,Other,27%,40%,0,Auto,1,23,16,3103,4416.58,88.85,7,42198,18.75,0,Rejected,57
44,95577,641,Employed,21,42765,84,Rent,16%,72%,0,Other,0,21,24,2475,7964.75,57.88,6,30892,22.25,0,Rejected,53
42,46089,499,Employed,23,30157,48,Rent,27%,13%,0,Home,0,25,28,1494,3840.75,83.3,6,97373,24.34,0,Rejected,49
29,18827,473,Employed,8,9443,48,Mortgage,11%,17%,0,Auto,0,23,16,2111,1568.92,96.4,3,23117,28.94,0,Rejected,51
47,121233,540,Employed,24,22339,72,Mortgage,11%,15%,0,Other,0,29,12,2419,10102.75,90.88,6,9864,21.39,1,Approved,38
30,156023,506,Employed,5,52905,96,Rent,31%,14%,0,Education,1,24,8,453,13001.92,60.18,4,14904,29.69,0,Rejected,55
38,74351,625,Self-Employed,17,14358,60,Rent,48%,24%,0,Education,0,22,11,4066,6195.92,92.84,4,83217,17.42,1,Approved,41
57,23850,580,Employed,35,13111,24,Rent,18%,20%,0,Home,0,15,14,8550,1987.5,65.26,6,2847,19.77,0,Rejected,53
32,90784,534,Employed,13,59248,36,Own,17%,41%,0,Home,0,27,20,8971,7565.33,87.05,2,96597,30.66,0,Rejected,52
21,30788,489,Employed,0,12541,84,Rent,40%,34%,0,Debt Consolidation,1,22,9,16516,2565.67,85.41,2,36312,27.16,0,Rejected,62
27,37807,557,Self-Employed,2,23940,48,Mortgage,7%,26%,0,Debt Consolidation,0,22,24,15916,3150.58,84.61,6,22841,21.89,0,Rejected,55
51,109182,604,Self-Employed,27,13115,36,Rent,18%,29%,0,Auto,0,28,3,8049,9098.5,52.72,8,9808,19.61,1,Approved,42
43,68509,625,Employed,20,17840,36,Mortgage,9%,14%,0,Other,0,25,12,8598,5709.08,70.17,8,25756,18.95,0,Rejected,46
38,15000,523,Employed,12,6866,60,Rent,17%,38%,0,Home,0,36,28,861,1250,96.29,5,86771,26.75,0,Rejected,53
33,45027,412,Employed,12,12869,48,Own,44%,39%,0,Home,0,17,9,1315,3752.25,74.17,6,23798,33.65,0,Rejected,57
45,95060,563,Employed,24,5499,96,Other,52%,34%,0,Debt Consolidation,0,18,15,9113,7921.67,94.91,7,6385,26.51,0,Rejected,54
29,15000,465,Employed,4,50718,60,Own,37%,5%,0,Other,0,19,14,3077,1250,68.18,6,204036,34.34,0,Rejected,48
43,63731,585,Employed,19,18046,48,Mortgage,36%,16%,0,Auto,0,18,4,6098,5310.92,80.63,10,3455,24.34,0,Rejected,53
31,18340,557,Employed,11,16955,84,Mortgage,60%,15%,0,Debt Consolidation,0,18,25,6112,1528.33,70.67,6,440889,27.62,0,Rejected,47
29,35782,569,Employed,8,9303,24,Mortgage,51%,37%,0,Home,0,25,3,5255,2981.83,77.32,4,3436,17.12,0,Rejected,59
32,65290,536,Employed,6,8028,48,Rent,23%,27%,0,Home,0,26,28,2095,5440.83,96.6,3,196003,23.39,1,Approved,38
35,32668,499,Self-Employed,12,32967,72,Mortgage,65%,20%,0,Debt Consolidation,0,27,3,2191,2722.33,79.74,5,2380,31.51,0,Rejected,59
39,85808,580,Employed,15,15519,72,Own,60%,12%,0,Debt Consolidation,0,34,23,2081,7150.67,77.14,5,8813,24.56,1,Approved,40
42,19674,570,Employed,22,24444,48,Mortgage,30%,42%,0,Debt Consolidation,0,28,14,181,1639.5,83.49,5,4367,26.96,0,Rejected,58
18,55240,563,Employed,0,25815,96,Rent,30%,6%,0,Home,0,26,10,2980,4603.33,89.71,4,113480,32.64,0,Rejected,46
30,37608,479,Employed,10,10408,24,Mortgage,24%,29%,0,Debt Consolidation,0,38,23,3015,3134,87.24,5,58209,25.29,0,Rejected,51
35,33719,528,Employed,16,50314,12,Other,10%,18%,0,Other,0,22,6,635,2809.92,72.25,1,14864,25.17,0,Rejected,52
58,113546,638,Employed,34,24489,24,Own,20%,10%,1,Home,1,27,28,10960,9462.17,81.91,8,44081,16.37,1,Approved,50
27,37389,540,Employed,2,16958,72,Rent,12%,38%,0,Debt Consolidation,0,19,24,1162,3115.75,84.58,7,5928,22.7,0,Rejected,54
41,97720,597,Employed,19,17889,36,Mortgage,32%,43%,1,Home,0,15,5,4204,8143.33,88.69,6,68923,18.63,0,Rejected,67
57,69075,524,Employed,36,19148,60,Own,27%,29%,0,Home,0,23,16,4207,5756.25,97.96,7,201724,22.85,1,Approved,38
24,45748,558,Employed,0,11800,12,Mortgage,10%,19%,0,Debt Consolidation,0,27,26,1983,3812.33,65.35,8,29475,19.88,0,Rejected,50
44,37487,551,Employed,22,13712,48,Own,14%,27%,0,Home,0,26,22,2592,3123.92,71.95,4,147322,23.05,1,Approved,38
30,36891,561,Self-Employed,8,12695,36,Own,21%,17%,0,Auto,0,16,4,2255,3074.25,93.79,6,4485,24.94,0,Rejected,57
33,35034,508,Unemployed,7,26473,36,Own,3%,30%,0,Education,0,18,11,2943,2919.5,94.74,4,315486,30.35,0,Rejected,49
30,45742,524,Employed,8,13774,36,Mortgage,35%,19%,0,Home,0,37,2,4757,3811.83,76.49,3,43592,24.51,0,Rejected,55
31,108837,519,Employed,10,29661,36,Mortgage,24%,16%,0,Home,0,23,27,3584,9069.75,59.05,7,2773,24.85,1,Approved,39
72,54271,645,Employed,48,19040,36,Other,25%,26%,0,Education,0,21,11,869,4522.58,86.35,5,9519,17.11,0,Rejected,49
50,25335,627,Employed,29,15788,24,Rent,50%,24%,0,Home,0,19,13,3350,2111.25,85.18,8,13381,18.11,0,Rejected,52
53,67408,563,Employed,31,18511,120,Mortgage,45%,23%,0,Home,0,32,1,19630,5617.33,78.35,6,34187,31.54,0,Rejected,57
45,85764,628,Employed,25,30690,120,Mortgage,21%,23%,0,Home,0,30,28,7029,7147,75.1,5,159132,25.92,0,Rejected,44
20,129322,620,Employed,0,36381,72,Rent,23%,56%,0,Auto,0,38,2,1461,10776.83,79.59,6,43972,25.92,0,Rejected,57
44,109619,533,Employed,21,34576,84,Rent,33%,37%,0,Education,0,27,13,2134,9134.92,77.97,8,47223,28.21,1,Approved,42
52,32436,477,Employed,28,24524,60,Rent,8%,61%,0,Home,0,19,14,4172,2703,87.67,5,149984,31.15,0,Rejected,54
29,42650,553,Employed,5,17902,24,Rent,71%,30%,0,Home,0,10,5,274,3554.17,77.3,6,2616,22.43,0,Rejected,59
51,92147,666,Employed,27,24362,108,Rent,60%,47%,0,Auto,0,34,21,1587,7678.92,84.88,3,27656,21.17,1,Approved,41
48,77041,644,Employed,25,14202,36,Mortgage,21%,51%,0,Home,0,19,1,509,6420.08,70.52,4,58979,16.83,1,Approved,46
62,15000,604,Employed,40,36191,60,Own,17%,5%,0,Auto,0,24,11,7488,1250,63.38,5,193590,25.36,0,Rejected,44
34,56738,533,Unemployed,10,12443,48,Mortgage,48%,34%,0,Debt Consolidation,0,20,10,1128,3034.42,97.39,3,76228,22.56,0,Rejected,56
26,60239,582,Employed,6,28142,36,Other,53%,39%,0,Home,1,24,3,7422,5019.92,83.06,4,10920,22.47,0,Rejected,64
35,105953,540,Employed,17,14498,48,Rent,24%,18%,1,Education,1,37,20,651,8829.42,80.56,5,38582,21.71,0,Rejected,67
57,40195,649,Employed,32,21818,48,Mortgage,44%,45%,0,Debt Consolidation,0,25,25,4570,3349.58,89.65,5,83625,21.79,0,Rejected,53
18,29958,530,Employed,0,26954,12,Own,29%,11%,0,Education,0,25,22,3315,2496.5,89.65,5,303784,22.15,0,Rejected,46
18,33785,601,Employed,0,22712,12,Rent,47%,20%,0,Home,0,23,28,1587,2815.42,80.37,4,74287,15.4,0,Rejected,49
41,43456,612,Employed,16,49467,60,Rent,65%,28%,0,Education,0,29,24,2976,3621.33,66.16,6,153946,20.02,0,Rejected,48
34,84868,579,Employed,13,31575,48,Mortgage,41%,43%,0,Home,0,29,17,3066,7072.33,96.68,4,100960,24.62,0,Rejected,52
40,37689,539,Employed,19,9281,60,Rent,21%,28%,0,Home,0,28,3,1542,3140.75,94.45,5,34209,26.73,0,Rejected,56
51,116815,635,Employed,30,19131,72,Own,14%,44%,0,Other,0,26,11,19993,9734.58,71.48,5,22509,22.4,1,Approved,41
33,111378,628,Employed,9,23610,60,Rent,12%,50%,0,Home,1,29,13,2167,9281.5,69.92,2,6103,21.99,0,Rejected,57
18,30841,589,Employed,0,12670,60,Mortgage,14%,40%,0,Home,0,19,19,1433,2570.08,55.59,4,7950,24.89,0,Rejected,54
64,44150,608,Employed,43,25013,96,Mortgage,10%,46%,1,Education,0,34,23,4089,3679.17,88.28,5,107810,26.65,0,Rejected,61
28,53447,609,Employed,5,16735,60,Own,39%,41%,0,Other,0,30,18,2964,4453.92,95.15,6,25924,22.06,0,Rejected,53
27,33603,528,Employed,7,38018,84,Mortgage,12%,9%,1,Education,0,29,24,2324,2800.25,89.52,6,3560,35.88,0,Rejected,62
53,47545,616,Employed,32,40020,84,Rent,24%,22%,1,Debt Consolidation,1,26,11,1769,3962.08,89.61,5,10040,22.42,0,Rejected,68
35,17722,433,Employed,17,9280,36,Mortgage,8%,47%,0,Auto,0,25,29,6137,1476.83,71.64,3,19693,28.36,0,Rejected,57
39,75957,574,Employed,15,16978,60,Own,32%,54%,0,Debt Consolidation,0,26,15,3828,6329.75,63.84,6,9487,26.66,0,Rejected,58
45,134239,613,Employed,24,16223,36,Own,28%,69%,0,Auto,0,22,8,872,11186.58,85.93,3,168089,21.08,1,Approved,40
53,34958,621,Employed,33,17508,60,Mortgage,30%,38%,0,Education,0,27,28,2519,2913.17,69.6,6,12415,21.41,0,Rejected,52
35,22637,536,Employed,15,12668,36,Rent,7%,34%,0,Auto,0,32,6,23642,1886.42,89.68,4,5982,20.5,0,Rejected,57
58,94337,643,Unemployed,36,24305,48,Mortgage,30%,19%,0,Debt Consolidation,0,29,15,5314,7861.42,75.46,3,63714,19.08,1,Approved,38
18,40440,494,Employed,0,15192,48,Own,19%,10%,0,Home,0,27,9,944,3370,90.75,6,175246,24.38,0,Rejected,47
49,25442,450,Employed,23,8376,60,Mortgage,27%,28%,0,Home,0,19,14,3265,2120.17,66.82,6,37110,27.43,0,Rejected,54
29,41761,543,Employed,11,11812,60,Own,35%,4%,0,Education,0,22,1,3614,3480.08,92.5,6,155943,26.1,0,Rejected,51
56,29734,669,Employed,34,5660,60,Rent,40%,44%,0,Auto,0,30,18,807,2477.83,55.57,5,4067,18.35,0,Rejected,53
41,61251,568,Employed,18,15662,60,Other,34%,18%,0,Home,0,17,14,3645,5104.25,78.91,1,108226,24,0,Rejected,46
31,17017,575,Self-Employed,10,8606,60,Own,41%,21%,1,Debt Consolidation,0,29,29,5090,1418.08,66.79,7,5931,23.69,0,Rejected,70
47,29730,656,Employed,24,11234,84,Rent,63%,44%,0,Debt Consolidation,0,13,5,280,2477.5,83.09,6,68849,21.62,0,Rejected,54
50,20603,524,Employed,29,10153,60,Own,26%,18%,0,Home,0,26,18,901,1716.92,92.12,5,6425,25.95,0,Rejected,52
47,67200,612,Employed,21,6616,60,Mortgage,14%,13%,0,Debt Consolidation,0,37,7,48701,5600,77.8,7,118944,16.5,1,Approved,34
27,15000,601,Self-Employed,7,16556,96,Rent,16%,33%,0,Home,0,22,13,3226,1250,82.66,3,14100,20.49,0,Rejected,55
34,178637,586,Self-Employed,16,33919,24,Own,27%,12%,0,Debt Consolidation,0,23,18,30277,14886.42,91.25,10,53259,24.19,1,Approved,39
39,29518,577,Employed,19,23116,48,Rent,15%,60%,0,Education,0,23,13,2035,2459.83,68.06,8,30424,23.47,0,Rejected,59
39,15000,611,Employed,16,14118,60,Own,23%,13%,0,Auto,0,25,27,9886,1250,83.98,5,92848,23.41,0,Rejected,47
48,30992,518,Employed,26,8526,36,Rent,10%,77%,0,Education,0,25,22,2450,2582.67,96.54,4,49178,19.66,1,Approved,46
18,58116,516,Unemployed,0,24050,60,Mortgage,14%,31%,0,Home,0,24,25,9175,4843,85.12,4,52964,25.48,0,Rejected,54
44,101098,460,Employed,20,42467,36,Own,7%,7%,0,Auto,0,25,15,1423,8424.83,72.08,2,20841,30.35,0,Rejected,48
36,52644,554,Employed,15,13007,48,Rent,18%,44%,0,Home,0,23,12,6421,4387,78.53,3,82165,23.6,0,Rejected,53
29,44051,591,Unemployed,7,31783,60,Mortgage,22%,35%,0,Debt Consolidation,0,25,1,609,3670.92,95.5,6,61167,25.29,0,Rejected,60
31,21065,570,Employed,9,17686,48,Own,14%,40%,0,Debt Consolidation,0,20,5,267,1755.42,94.42,3,17569,22.52,0,Rejected,57
37,92524,472,Employed,11,33548,36,Mortgage,29%,26%,0,Home,0,23,2,3105,7710.33,80.38,8,4403,30.13,0,Rejected,55
18,60633,506,Employed,0,24027,84,Mortgage,44%,47%,0,Debt Consolidation,0,33,19,3427,5052.75,49.16,11,27720,25.88,0,Rejected,57
31,60753,624,Employed,5,24703,60,Own,17%,52%,0,Debt Consolidation,1,30,4,29393,5062.75,39.69,6,175203,18.31,0,Rejected,59
29,44663,614,Employed,5,12753,36,Own,42%,30%,0,Auto,0,13,28,8912,3721.92,90.54,5,76911,19.6,0,Rejected,49
46,72353,572,Employed,24,27027,36,Mortgage,38%,40%,0,Debt Consolidation,0,31,15,13947,6029.42,51.76,5,17419,21.42,1,Approved,45
30,58862,586,Employed,10,21849,60,Mortgage,36%,56%,0,Auto,1,14,25,5554,2594.08,59.87,7,58821,24.54,0,Rejected,62
37,86932,543,Employed,14,21757,48,Rent,46%,34%,0,Auto,0,27,28,1742,7244.33,70.19,2,112243,19.99,1,Approved,40
58,102553,651,Employed,36,30768,60,Own,22%,43%,0,Auto,0,30,6,1164,8546.08,63.01,4,30530,19.22,1,Approved,41
51,42426,589,Employed,29,14529,36,Other,17%,32%,0,Debt Consolidation,0,16,4,1577,3535.5,91.94,3,142889,24.24,0,Rejected,53
50,50226,579,Employed,28,29227,72,Mortgage,36%,31%,1,Auto,0,19,16,2308,4185.5,74.07,5,47055,28.07,0,Rejected,66
34,15000,476,Employed,16,29546,36,Mortgage,73%,52%,0,Debt Consolidation,0,31,10,759,1250,82.7,5,2142,31.17,0,Rejected,62
46,17048,609,Employed,21,19468,12,Own,8%,33%,0,Home,0,24,17,38739,1420.67,87.99,4,112251,16.36,0,Rejected,48
37,66498,541,Employed,15,19238,120,Mortgage,36%,18%,0,Auto,0,30,19,5676,5541.5,71.22,5,36429,25.18,1,Approved,40
37,93994,533,Employed,17,20328,72,Rent,26%,20%,0,Debt Consolidation,0,21,1,6610,7832.83,91.85,2,92135,25.78,0,Rejected,53
44,86195,626,Employed,21,18395,108,Mortgage,27%,23%,0,Education,0,30,27,5112,7182.92,79.49,8,8398,24.05,1,Approved,38
32,26835,647,Employed,11,13179,36,Rent,20%,5%,0,Home,0,25,21,426,2236.25,48.04,1,1850,15.88,0,Rejected,49
57,207597,594,Employed,33,10629,48,Rent,20%,2%,0,Other,0,21,16,4995,17299.75,61.14,7,34195,22.5,1,Approved,38
38,81442,527,Employed,14,13073,96,Own,25%,20%,0,Home,0,24,2,16267,6786.83,88.73,7,115043,29.94,0,Rejected,51
47,40089,642,Employed,22,52270,72,Mortgage,52%,36%,0,Debt Consolidation,0,20,12,2611,3340.75,81.58,7,848395,22.02,1,Approved,36
57,52424,529,Employed,35,17095,36,Own,42%,7%,1,Home,0,26,1,987,4368.67,86.92,5,93615,22.65,0,Rejected,65
52,16397,500,Employed,30,17357,72,Rent,48%,24%,0,Home,0,23,14,32058,1366.42,88.02,7,100096,29.82,0,Rejected,51
23,29992,511,Employed,2,21070,60,Rent,22%,42%,0,Education,1,13,28,3018,2499.33,79.99,3,4869,24.68,0,Rejected,64
45,84809,556,Employed,24,40346,84,Rent,8%,24%,0,Education,0,18,21,8501,7067.42,82.69,3,7155,28.03,0,Rejected,50
50,62805,624,Employed,28,15685,48,Mortgage,61%,9%,0,Home,0,18,14,707,5233.75,74.4,5,117387,20.47,0,Rejected,45
50,177708,591,Employed,28,22459,48,Mortgage,64%,8%,0,Auto,0,21,6,889,14809,95.67,4,44091,21.52,1,Approved,42
26,23952,615,Employed,5,9616,84,Rent,43%,61%,0,Auto,0,25,5,9087,1996,86.59,3,42398,25.1,0,Rejected,60
32,56155,634,Employed,12,9675,60,Own,26%,13%,0,Auto,0,23,8,2110,4679.58,57.39,5,10490,15.81,1,Approved,38
51,26746,592,Employed,29,17623,48,Mortgage,18%,9%,0,Education,0,29,16,14620,2228.83,65.82,2,134969,21.88,0,Rejected,47
30,93220,581,Employed,8,19200,60,Rent,21%,58%,0,Education,0,26,20,1963,7768.33,71.77,5,39226,23.57,0,Rejected,57
36,52607,615,Employed,16,21778,48,Mortgage,13%,16%,0,Other,0,33,29,1115,4383.92,80.56,3,107863,23.14,0,Rejected,42
58,61197,652,Employed,34,24077,48,Mortgage,27%,26%,0,Debt Consolidation,0,29,14,1751,5099.75,90.41,3,19421,20.26,0,Rejected,46
39,42254,564,Employed,13,32485,60,Rent,58%,45%,0,Auto,0,23,10,6976,3521.17,68.44,5,19855,25.16,0,Rejected,58
31,25970,566,Employed,7,15213,36,Mortgage,9%,13%,0,Debt Consolidation,0,25,10,1753,2164.17,91.56,6,119309,19.61,0,Rejected,47
29,90821,520,Employed,8,21025,60,Mortgage,42%,31%,0,Auto,0,28,10,2349,7568.42,93.76,2,174303,24.12,1,Approved,40
43,59227,633,Self-Employed,21,16316,60,Mortgage,20%,40%,0,Debt Consolidation,0,22,7,2199,4935.58,91.13,5,10867,21.79,0,Rejected,57
24,63162,606,Employed,0,36534,72,Own,30%,54%,0,Home,0,19,6,271,5263.5,58.83,4,68974,23.57,0,Rejected,55
37,74155,560,Employed,17,15256,96,Rent,30%,57%,0,Home,0,22,15,3762,6179.58,66.66,9,108213,27.7,0,Rejected,54
43,26379,610,Employed,19,52056,60,Own,38%,25%,0,Other,0,28,11,5446,2198.25,58.78,6,45302,23.94,0,Rejected,51
55,195596,614,Employed,35,23013,60,Rent,21%,44%,0,Auto,0,28,20,10453,16299.67,69.1,4,65997,25.76,1,Approved,39
48,163396,464,Employed,22,25617,24,Mortgage,46%,27%,1,Home,1,15,18,11995,13616.33,62.74,9,11169,30.61,0,Rejected,69
31,37613,554,Employed,9,5964,24,Mortgage,52%,11%,0,Home,0,25,28,4263,3134.42,83.56,4,6307,18.95,1,Approved,42
54,36280,475,Employed,27,22641,48,Own,20%,5%,0,Home,0,24,15,12365,3023.33,90.19,7,67395,26.99,0,Rejected,49
36,82291,544,Employed,10,19950,36,Mortgage,16%,37%,0,Other,0,20,29,1081,6857.58,88.83,2,219556,23.24,1,Approved,38
25,78488,561,Employed,3,12559,96,Mortgage,12%,52%,0,Home,0,26,6,2847,6540.67,66.54,4,13524,27.64,0,Rejected,59
37,152581,612,Employed,16,6201,48,Own,29%,12%,0,Debt Consolidation,0,26,3,3702,12715.08,87.07,8,66606,18.44,1,Approved,37
57,74548,522,Employed,34,12520,36,Mortgage,18%,71%,0,Auto,0,23,5,4683,6212.33,86.22,5,9105,21.62,1,Approved,47
41,44728,576,Employed,19,21066,36,Rent,14%,6%,0,Other,0,20,15,2683,3727.33,75.57,2,195947,19.18,1,Approved,37
40,58511,623,Employed,18,14701,60,Rent,19%,47%,0,Home,0,32,8,4685,4875.92,75.93,3,270766,23.66,1,Approved,38
59,17249,608,Employed,40,39680,24,Own,41%,27%,0,Education,0,32,16,1160,1437.42,76.78,2,86502,21.54,0,Rejected,50
22,33305,528,Employed,1,20265,24,Other,53%,20%,1,Home,0,24,1,12100,2775.42,83.5,3,4496,21.42,0,Rejected,70
24,51606,501,Employed,4,29878,60,Own,6%,16%,0,Debt Consolidation,0,19,4,1593,4300.5,91.83,6,73912,30.23,0,Rejected,50
20,15000,500,Employed,0,17524,24,Mortgage,44%,47%,0,Education,1,24,17,1113,1250,76.67,0,3746,25.68,0,Rejected,65
44,59827,565,Employed,20,18795,48,Mortgage,33%,34%,0,Home,0,21,26,14109,4985.58,70.45,2,63078,21.68,1,Approved,42
41,35265,598,Employed,17,45847,36,Own,34%,3%,0,Education,0,21,20,17518,2938.75,91.22,1,32153,22.03,0,Rejected,51
58,146552,593,Employed,35,33538,60,Mortgage,20%,26%,0,Auto,1,30,10,3690,12212.67,72.73,2,10313,25.08,1,Approved,45
42,38480,574,Employed,21,18109,108,Other,18%,57%,0,Debt Consolidation,0,25,7,1303,3206.67,70.44,9,3788,31.57,0,Rejected,59
35,34094,527,Employed,12,58697,96,Other,14%,28%,0,Auto,0,29,2,5948,2841.17,87.32,9,277896,31.22,0,Rejected,50
40,36278,557,Employed,16,11855,108,Mortgage,5%,53%,0,Education,0,19,23,2812,3023.17,82.55,4,504594,25.93,1,Approved,40
41,50391,611,Employed,20,12688,36,Own,8%,25%,0,Home,0,25,18,753,4199.25,73.7,6,63280,19.94,1,Approved,37
19,68604,462,Employed,0,15631,72,Mortgage,35%,31%,0,Debt Consolidation,0,16,17,5541,5717,96.32,5,38646,27.04,1,Approved,43
72,61129,663,Employed,50,32448,36,Rent,13%,56%,0,Auto,0,20,25,720,5094.08,73.58,6,27056,15.01,0,Rejected,51
46,49698,554,Employed,20,19698,60,Other,14%,54%,0,Debt Consolidation,0,18,5,22781,4141.5,82.43,4,46579,26.43,0,Rejected,60
42,86273,613,Employed,18,15395,36,Rent,48%,7%,1,Debt Consolidation,0,19,2,1892,7189.42,78.92,6,161687,15.57,1,Approved,47
47,44648,535,Employed,23,9759,96,Rent,32%,23%,0,Home,0,19,2,6177,3720.67,86.45,4,30113,33.27,0,Rejected,57
48,80364,594,Unemployed,29,35060,36,Rent,12%,17%,0,Home,0,30,22,11388,6697,76.4,2,34482,18.77,1,Approved,41
38,44809,641,Employed,15,25519,60,Mortgage,16%,15%,0,Education,0,19,21,6601,3734.08,88.99,5,101134,21.58,0,Rejected,43
32,52558,573,Employed,10,13072,60,Mortgage,19%,16%,0,Home,0,34,1,5431,4379.83,88.75,5,10298,26.33,0,Rejected,53
47,127122,490,Employed,25,14103,36,Own,10%,11%,0,Auto,0,24,25,4650,10593.5,85.72,4,24020,22.31,1,Approved,38
44,65599,504,Employed,25,18301,72,Rent,20%,13%,0,Debt Consolidation,0,38,15,2656,5466.58,80.18,7,122232,23.35,1,Approved,36
30,15000,504,Employed,10,13681,84,Mortgage,19%,40%,0,Debt Consolidation,0,34,22,947,1250,62,11,58686,27.05,0,Rejected,55
57,77194,641,Employed,35,15096,36,Rent,37%,31%,0,Other,0,24,9,1721,6432.83,78.38,6,100037,17,1,Approved,38
43,26536,586,Employed,18,28220,36,Own,25%,20%,0,Other,0,23,28,8923,2211.33,67.61,7,8363,25.71,0,Rejected,52
48,30720,650,Employed,27,18113,36,Mortgage,25%,61%,0,Auto,0,28,3,4697,2560,67.76,5,5316,18.27,0,Rejected,56
56,91307,542,Employed,34,33258,24,Mortgage,46%,34%,0,Home,0,32,10,1869,7608.92,60.54,8,121531,21.01,1,Approved,40
40,24842,522,Employed,14,11512,36,Mortgage,60%,24%,0,Auto,0,28,12,3369,2070.17,84.35,3,22357,23.54,0,Rejected,55
43,32660,594,Employed,21,44343,60,Other,11%,23%,0,Education,1,19,12,6598,2721.67,83.13,7,4103,28.06,0,Rejected,58
49,59409,624,Employed,27,23206,72,Mortgage,3%,14%,0,Auto,0,23,11,9502,4950.75,88.84,4,27834,18.8,1,Approved,37
31,21559,467,Employed,9,18493,108,Own,18%,44%,1,Home,0,28,2,2635,1796.58,87.45,4,273761,26.61,0,Rejected,67
40,20411,597,Employed,20,10304,48,Mortgage,23%,22%,0,Debt Consolidation,0,18,4,15475,1700.92,82.14,10,88941,22.35,0,Rejected,55
41,70996,636,Employed,17,27760,36,Mortgage,21%,32%,1,Home,0,29,14,1423,5916.33,92.77,7,48443,15.7,0,Rejected,63
28,59120,445,Employed,7,17862,36,Mortgage,38%,50%,0,Auto,0,19,2,6269,4926.67,90.53,1,8724,27.08,0,Rejected,60
67,116523,560,Employed,45,39928,12,Other,42%,15%,0,Auto,0,28,28,1717,9710.25,76.81,9,38652,21.96,0,Rejected,50
23,22455,599,Employed,0,48477,108,Mortgage,1%,6%,0,Auto,0,28,17,1756,1871.25,93.82,5,10484,26.96,0,Rejected,51
24,50344,535,Employed,0,20937,60,Other,53%,32%,0,Auto,0,19,2,5430,4195.33,65.93,6,77078,20.96,0,Rejected,57
55,38356,633,Self-Employed,35,41000,12,Rent,5%,15%,0,Auto,0,26,4,4582,3196.33,84.22,2,151842,18.16,0,Rejected,49
